Form ,Version,Gate_question_variable,Variable,TT_code
c2/c2t,v3-4,RESPVAL,RESPHEAR,"If RESPVAL in (2,3) and RESPHEAR is blank then RESPHEAR should = 0"
c2/c2t,v3-4,RESPVAL,RESPDIST,"If RESPVAL in (2,3) and RESPDIST is blank then RESPDIST should = 0"
c2/c2t,v3-4,RESPVAL,RESPINTR,"If RESPVAL in (2,3) and RESPINTR is blank then RESPINTR should = 0"
c2/c2t,v3-4,RESPVAL,RESPDISN,"If RESPVAL in (2,3) and RESPDISN is blank then RESPDISN should = 0"
c2/c2t,v3-4,RESPVAL,RESPFATG,"If RESPVAL in (2,3) and RESPFATG is blank then RESPFATG should = 0"
c2/c2t,v3-4,RESPVAL,RESPEMOT,"If RESPVAL in (2,3) and RESPEMOT is blank then RESPEMOT should = 0"
c2/c2t,v3-4,RESPVAL,RESPASST,"If RESPVAL in (2,3) and RESPASST is blank then RESPASST should = 0"
c2/c2t,v3-4,RESPVAL,RESPOTH,"If RESPVAL in (2,3) and RESPOTH is blank then RESPOTH should = 0"
c2/c2t,v3-4,VERBALTEST,REY1REC,If VERBALTEST = 2 then REY1REC should = 88
c2/c2t,v3-4,VERBALTEST,REY1INT,If VERBALTEST = 2 then REY1INT should = 888
c2/c2t,v3-4,VERBALTEST,REY2REC,If VERBALTEST = 2 then REY2REC should = 88
c2/c2t,v3-4,VERBALTEST,REY2INT,If VERBALTEST = 2 then REY2INT should = 888
c2/c2t,v3-4,VERBALTEST,REY3REC,If VERBALTEST = 2 then REY3REC should = 88
c2/c2t,v3-4,VERBALTEST,REY3INT,If VERBALTEST = 2 then REY3INT should = 888
c2/c2t,v3-4,VERBALTEST,REY4REC,If VERBALTEST = 2 then REY4REC should = 88
c2/c2t,v3-4,VERBALTEST,REY4INT,If VERBALTEST = 2 then REY4INT should = 888
c2/c2t,v3-4,VERBALTEST,REY5REC,If VERBALTEST = 2 then REY5REC should = 88
c2/c2t,v3-4,VERBALTEST,REY5INT,If VERBALTEST = 2 then REY5INT should = 888
c2/c2t,v4,VERBALTEST,REYBREC,If VERBALTEST = 2 then REYBREC should = 88
c2/c2t,v4,VERBALTEST,REYBINT,If VERBALTEST = 2 then REYBINT should = 888
c2/c2t,v3-4,VERBALTEST,REY6REC,If VERBALTEST = 2 then REY6REC should = 88
c2/c2t,v3-4,VERBALTEST,REY6INT,If VERBALTEST = 2 then REY6INT should = 888
c2/c2t,v3-4,VERBALTEST,REYDREC,If VERBALTEST = 2 then REYDREC should = 88
c2/c2t,v3-4,VERBALTEST,REYDINT,If VERBALTEST = 2 then REYDINT should = 888
c2/c2t,v4,VERBALTEST,REYDTI,If VERBALTEST = 2 then REYDTI should = 88
c2,v4,VERBALTEST,REYMETHOD,If VERBALTEST = 2 then REYMETHOD should = 88
c2/c2t,v3-4,VERBALTEST,REYTCOR,If VERBALTEST = 2 then REYTCOR should = 88
c2/c2t,v3-4,VERBALTEST,REYFPOS,If VERBALTEST = 2 then REYFPOS should = 88
c2/c2t,v3-4,REY1REC,REY1INT,If REY1REC = 95-98 then REY1INT should = REY1REC + 900
c2/c2t,v3-4,REY1REC,REY2REC,If REY1REC = 95-98 then REY2REC should = REY1REC
c2/c2t,v3-4,REY1REC,REY2INT,If REY1REC = 95-98 then REY2INT should = REY1REC + 900
c2/c2t,v3-4,REY2REC,REY3REC,If REY2REC = 95-98 then REY3REC should = REY2REC
c2/c2t,v3-4,REY2REC,REY3INT,If REY2REC = 95-98 then REY3INT should = REY2REC + 900
c2/c2t,v3-4,REY3REC,REY4REC,If REY3REC = 95-98 then REY4REC should = REY3REC
c2/c2t,v3-4,REY3REC,REY4INT,If REY3REC = 95-98 then REY4INT should = REY3REC + 900
c2/c2t,v3-4,REY4REC,REY5REC,If REY4REC = 95-98 then REY5REC should = REY4REC
c2/c2t,v3-4,REY4REC,REY5INT,If REY4REC = 95-98 then REY5INT should = REY4REC + 900
c2/c2t,v4,REY5REC,REYBREC,If REY5REC = 95-98 then REYBREC should = REY5REC
c2/c2t,v4,REY5REC,REYBINT,If REY5REC = 95-98 then REYBINT should = REY5REC + 900
c2/c2t,v4,REYBREC,REY6REC,If REYBREC = 95-98 then REY6REC should = REYBREC
c2/c2t,v4,REYBREC,REY6INT,If REYBREC = 95-98 then REY6INT should = REYBREC + 900
c2/c2t,v3-4,REYDREC,REYDINT,If REYDREC = 95-98 then REYDINT should = REYDREC + 900
c2/c2t,v3-4,REYDREC,REYTCOR,If REYDREC = 95-98 then REYTCOR should = REYDREC
c2/c2t,v3-4,REYDREC,REYFPOS,If REYDREC = 95-98 then REYFPOS should = REYDREC
c2/c2t,v4,VERBALTEST,CERAD1REC,If VERBALTEST = 1 then CERAD1REC should = 88
c2/c2t,v4,VERBALTEST,CERAD1READ,If VERBALTEST = 1 then CERAD1READ should = 88
c2/c2t,v4,VERBALTEST,CERAD1INT,If VERBALTEST = 1 then CERAD1INT should = 888
c2/c2t,v4,VERBALTEST,CERAD2REC,If VERBALTEST = 1 then CERAD2REC should = 88
c2/c2t,v4,VERBALTEST,CERAD2READ,If VERBALTEST = 1 then CERAD2READ should = 88
c2/c2t,v4,VERBALTEST,CERAD2INT,If VERBALTEST = 1 then CERAD2INT should = 888
c2/c2t,v4,VERBALTEST,CERAD3REC,If VERBALTEST = 1 then CERAD3REC should = 88
c2/c2t,v4,VERBALTEST,CERAD3READ,If VERBALTEST = 1 then CERAD3READ should = 88
c2/c2t,v4,VERBALTEST,CERAD3INT,If VERBALTEST = 1 then CERAD3INT should = 888
c2/c2t,v4,VERBALTEST,CERADDTI,If VERBALTEST = 1 then CERADDTI should = 88
c2/c2t,v4,VERBALTEST,CERADJ6REC,If VERBALTEST = 1 then CERADJ6REC should = 88
c2/c2t,v4,VERBALTEST,CERADJ6INT,If VERBALTEST = 1 then CERADJ6INT should = 888
c2/c2t,v4,VERBALTEST,CERADJ7YES,If VERBALTEST = 1 then CERADJ7YES should = 88
c2/c2t,v4,VERBALTEST,CERADJ7NO,If VERBALTEST = 1 then CERADJ7NO should = 88
c2,v3-4,MOCALAN,MOCALANX,"If MOCALAN is not 3, then MOCALANX should be blank"
c2,v3-4,MOCACOMP,MOCATOTS,If MOCACOMP = 0 then MOCATOTS should = 88
c2t,v3-4,MOCACOMP,MOCBTOTS,If MOCACOMP = 0 then MOCBTOTS should = 88
c2,v3-4,MOCACOMP,"MOCATRAI, MOCACUBE, MOCACLOC, MOCACLON, MOCACLOH, MOCANAMI, MOCAREGI, MOCADIGI, MOCALETT, MOCASER7, MOCAREPE, MOCAFLUE, MOCAABST, MOCARECN, MOCARECC, MOCARECR, MOCAORDT, MOCAORMO, MOCAORYR, MOCAORDY, MOCAORPL, MOCAORCT","If MOCACOMP = 0, then (MOCATRAI, MOCACUBE, MOCACLOC, MOCACLON, MOCACLOH, MOCANAMI, MOCAREGI, MOCADIGI, MOCALETT, MOCASER7, MOCAREPE, MOCAFLUE, MOCAABST, MOCARECN, MOCARECC, MOCARECR, MOCAORDT, MOCAORMO, MOCAORYR, MOCAORDY, MOCAORPL, MOCAORCT) should = MOCAREAS"
c2t,v3-4,MOCACOMP,"MOCADIGI, MOCALETT, MOCASER7, MOCAREPE, MOCAFLUE, MOCAABST, MOCARECN, MOCARECC, MOCARECR, MOCAORDT, MOCAORMO, MOCAORYR, MOCAORDY, MOCAORPL, MOCAORCT","If MOCACOMP = 0, then (MOCADIGI, MOCALETT, MOCASER7, MOCAREPE, MOCAFLUE, MOCAABST, MOCARECN, MOCARECC, MOCARECR, MOCAORDT, MOCAORMO, MOCAORYR, MOCAORDY, MOCAORPL, MOCAORCT) should = MOCAREAS"
c2,v3-4,NPSYLAN,NPSYLANX,"If NPSYLAN is not 3, then NPSYLANX should be blank"
c2,v3-4,RESPOTH,RESPOTHX,"If RESPOTH is not 1, then RESPOTHX should be blank"
c1,v1-3,MMSELAN,MMSELANX,"If MMSELAN is not 3, then MMSELANX should be blank"
c2,v3-4,MINTTOTS,MINTTOTW,If MINTTOTS = 95-98 then MINTTOTW should = MINTTOTS
c2,v3-4,MINTTOTS,MINTSCNG,If MINTTOTS = 95-98 then MINTSCNG should = MINTTOTS
c2,v3-4,MINTTOTS,MINTSCNC,If MINTTOTS = 95-98 then MINTSCNC should = MINTTOTS
c2,v3-4,MINTTOTS,MINTPCNG,If MINTTOTS = 95-98 then MINTPCNG should = MINTTOTS
c2,v3-4,MINTTOTS,MINTPCNC,If MINTTOTS = 95-98 then MINTPCNC should = MINTTOTS
c2,v1-4,TRAILA,TRAILARR,If TRAILA = 995-998 then TRAILARR should = TRAILA
c2,v1-4,TRAILA,TRAILALI,If TRAILA = 995-998 then TRAILALI should = TRAILA
c2,v1-4,TRAILB,TRAILBRR,If TRAILB = 995-998 then TRAILBRR should = TRAILB
c2,v1-4,TRAILB,TRAILBLI,If TRAILB = 995-998 then TRAILBLI should = TRAILB
c2/c2t,v3-4,DIGBACCT,DIGBACLS,If DIGBACCT = 95-98 then DIGBACLS should = DIGBACCT
c2/c2t,v3-4,DIGFORCT,DIGFORSL,If DIGFORCT = 95-98 then DIGFORSL should = DIGFORCT
c2t,v3-4,OTRAILA,OTRLARR,If OTRAILA = 888 or 995-998 then OTRLARR should = OTRAILA
c2t,v3-4,OTRAILA,OTRLALI,If OTRAILA = 888 or 995-998 then OTRLALI should = OTRAILA
c2t,v3-4,OTRAILB,OTRLBRR,If OTRAILB = 888 or 995-998 then OTRLBRR should = OTRAILB
c2t,v3-4,OTRAILB,OTRLBLI,If OTRAILB = 888 or 995-998 then OTRLBLI should = OTRAILB
c2/c2t,v3-4,CRAFTVRS,CRAFTURS,If CRAFTVRS = 95-98 then CRAFTURS should = CRAFTVRS
c2/c2t,v3-4,CRAFTDVR,CRAFTDRE,If CRAFTDVR = 95-98 then CRAFTDRE should = CRAFTDVR
c2/c2t,v3-4,CRAFTDVR,CRAFTDTI,If CRAFTDVR = 95-98 then CRAFTDTI should = CRAFTDVR
c2/c2t,v3-4,CRAFTDVR,CRAFTCUE,If CRAFTDVR = 95-98 then CRAFTCUE should = CRAFTDVR
c2/c2t,v3-4,UDSVERFC,UDSVERFN,If UDSVERFC = 95-98 then UDSVERFN should = UDSVERFC
c2/c2t,v3-4,UDSVERFC,UDSVERNF,If UDSVERFC = 95-98 then UDSVERNF should = UDSVERFC
c2/c2t,v3-4,UDSVERLC,UDSVERLR,If UDSVERLC = 95-98 then UDSVERLR should = UDSVERLC
c2/c2t,v3-4,UDSVERLC,UDSVERLN,If UDSVERLC = 95-98 then UDSVERLN should = UDSVERLC
c2/c2t,v3-4,UDSVERLC,UDSVERTN,If UDSVERLC = 95-98 then UDSVERTN should = UDSVERLC
c2/c2t,v3-4,UDSVERLC,UDSVERTE,If UDSVERLC = 95-98 then UDSVERTE should = UDSVERLC
c2/c2t,v3-4,UDSVERLC,UDSVERTI,If UDSVERLC = 95-98 then UDSVERTI should = UDSVERLC
