error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c1l-lbdivp-m-001,001,Error,c1l,IL,FRMDATEC1L,Missingness,FRMDATEC1L must be present,FRMDATEC1L cannot be blank,Q0a. FRMDATEC1L (C1L form date) cannot be blank ,If FRMDATEC1L is blank,,,Yes,No,
c1l-lbdivp-c-002,002,Error,c1l,IL,FRMDATEC1L,Conformity,FRMDATEC1L conforms,FRMDATEC1L must be a date,Q0a. FRMDATEC1L (C1L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEC1L is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
c1l-lbdivp-m-003,003,Error,c1l,IL,LBNSWORD,Missingness,LBNSWORD must be present,LBNSWORD cannot be blank,Q1a. LBNSWORD (Speeded attention task - raw word score) cannot be blank,If LBNSWORD is blank,,,Yes,Yes,
c1l-lbdivp-c-004,004,Error,c1l,IL,LBNSWORD,Conformity,LBNSWORD conforms,LBNSWORD must be an integer between 0-150 or 995-998,Q1a. LBNSWORD (Speeded attention task - raw word score) must be an integer between 0-150 or 995-998,If LBNSWORD < 0 or (LBNSWORD > 150 and LBNSWORD ne 995-998),,,Yes,Yes,
c1l-lbdivp-m-005,005,Error,c1l,IL,LBNSCOLR,Missingness,LBNSCOLR conditionally present,"If LBNSWORD is in (0-150), LBNSCOLR cannot be blank","If Q1a. LBNSWORD (Speeded attention task - raw word score) = 0-150, Q1b. LBNSCOLR (Raw color score) cannot be blank",If LBNSWORD is in (0-150) and LBNSCOLR is blank,,"LBNSWD, LBNSCOLR  ",Yes,Yes,
c1l-lbdivp-m-006,006,Error,c1l,IL,LBNSCOLR,Missingness,LBNSCOLR conditionally blank,"If LBNSWORD is in (995-998), LBNSCOLR must be blank","If Q1a. LBNSWORD (Speeded attention task - raw word score) = 995-998 (Not completed), Q1b. LBNSCOLR (Raw color score) must be blank",If LBNSWORD is in (995-998) and LBNSCOLR is not blank,,"LBNSWD, LBNSCOLR  ",Yes,Yes,
c1l-lbdivp-c-007,007,Error,c1l,IL,LBNSCOLR,Conformity,LBNSCOLR conforms,LBNSCOLR must be an integer between 1-150,Q1b. LBNSCOLR (Raw color score) must be an integer between 0-150,If LBNSCOLR < 0 or LBNSCOLR > 150,,,Yes,Yes,
c1l-lbdivp-m-008,008,Error,c1l,IL,LBNSCLWD,Missingness,LBNSCLWD conditionally present,"If LBNSWORD is in (0-150), LBNSCLWD cannot be blank","If Q1a. LBNSWORD (Speeded attention task - raw word score) = 0-150, Q1c. LBNSCLWD (Raw color-word score) cannot be blank",If LBNSWORD is in (0-150) and LBNSCLWD is blank,,"LBNSWD, LBNSCLWD  ",Yes,Yes,
c1l-lbdivp-m-009,009,Error,c1l,IL,LBNSCLWD,Missingness,LBNSCLWD conditionally blank,"If LBNSWORD is in (995-998), LBNSCLWD must be blank","If Q1a. LBNSWORD (Speeded attention task - raw word score) = 995-998 (Not completed), Q1c. LBNSCLWD (Raw color-word score) must be blank",If LBNSWORD is in (995-998) and LBNSCLWD is not blank,,"LBNSWD, LBNSCLWD  ",Yes,Yes,
c1l-lbdivp-c-010,010,Error,c1l,IL,LBNSCLWD,Conformity,LBNSCLWD conforms,LBNSCLWD must be an integer between 0-150,Q1c. LBNSCLWD (Raw color-word score) must be an integer between 0-150,If LBNSCLWD < 0 or LBNSCLWD > 150,,,Yes,Yes,
c1l-lbdivp-m-011,011,Error,c1l,IL,LBNPFACE,Missingness,LBNPFACE must be present,LBNPFACE cannot be blank,Q2a. LBNPFACE (Noise pareidolia task - correct face responses) cannot be blank,If LBNPFACE is blank,,,Yes,Yes,
c1l-lbdivp-c-012,012,Error,c1l,IL,LBNPFACE,Conformity,LBNPFACE conforms,LBNPFACE must be an integer between 0-7 or 95-98,Q2a. LBNPFACE (Noise pareidolia task - correct face responses) must be an integer between 0-7 or 95-98,If LBNPFACE < 0 or (LBNPFACE > 7 and LBNPFACE ne 95-98),,,Yes,Yes,
c1l-lbdivp-m-013,013,Error,c1l,IL,LBNPNOIS,Missingness,LBNPNOIS conditionally present,"If LBNPFACE is in (0-7), LBNPNOIS cannot be blank","If Q2a. LBNPFACE (Noise pareidolia task - correct face responses) = 0-7, Q2b. LBNPNOIS (Noise pareidolia task - correct noise responses) cannot be blank",If LBNPFACE is in (0-7) and LBNPNOIS is blank,,"LBNPFACE, LBNPNO  ",Yes,Yes,
c1l-lbdivp-m-014,014,Error,c1l,IL,LBNPNOIS,Missingness,LBNPNOIS conditionally blank,"If LBNPFACE is in (95-98), LBNPNOIS must be blank","If Q2a. LBNPFACE (Noise pareidolia task - correct face responses) = 95-98 (Not completed), Q2b. LBNPNOIS (Noise pareidolia task - correct noise responses) must be blank",If LBNPFACE is in (95-98) and LBNPNOIS is not blank,,"LBNPFACE, LBNPNO  ",Yes,Yes,
c1l-lbdivp-c-015,015,Error,c1l,IL,LBNPNOIS,Conformity,LBNPNOIS conforms,LBNPNOIS must be an integer between 0-13,Q2b. LBNPNOIS (Noise pareidolia task - correct noise responses) must be an integer between 0-13,If LBNPNOIS < 0 or LBNPNOIS > 13,,,Yes,Yes,
c1l-lbdivp-m-016,016,Error,c1l,IL,LBNPTCOR,Missingness,LBNPTCOR conditionally present,"If LBNPFACE is in (0-7), LBNPTCOR cannot be blank","If Q2a. LBNPFACE (Noise pareidolia task - correct face responses) = 0-7, Q2c. LBNPTCOR (Noise pareidolia task - total correct responses) cannot be blank",If LBNPFACE is in (0-7) and LBNPTCOR is blank,,"LBNPFACE, LBNPTC  ",Yes,Yes,
c1l-lbdivp-m-017,017,Error,c1l,IL,LBNPTCOR,Missingness,LBNPTCOR conditionally blank,"If LBNPFACE is in (95-98), LBNPTCOR must be blank","If Q2a. LBNPFACE (Noise pareidolia task - correct face responses) = 95-98 (Not completed), Q2c. LBNPTCOR (Noise pareidolia task - total correct responses) must be blank",If LBNPFACE is in (95-98) and LBNPTCOR is not blank,,"LBNPFACE, LBNPTC  ",Yes,Yes,
