error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
f3-fcv-m-001,001,Error,f3,FCV,FRMDATEF3,Missingness,FRMDATEF3 must be present,FRMDATEF3 cannot be blank,Q0G. FRMDATEF3 (F3 form date) cannot be blank,If FRMDATEF3=blank,,,,,
f3-fcv-c-002,002,Error,f3,FCV,FRMDATEF3,Conformity,FRMDATEF3 conforms,FRMDATEF3 must be a date,Q0G. FRMDATEF3 (F3 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEF3 is not mm/dd/yyyy or yyyy/mm/dd,,,,,
f3-fcv-m-003,003,Error,f3,FCV,MODEF3,Missingness,MODEF3 must be present,MODEF3 cannot be blank,Q0H. MODEF3 (F3 in person or remote) cannot be blank,If MODEF3=blank,,,,,
f3-fcv-c-004,004,Error,f3,FCV,MODEF3,Conformity,MODEF3 conforms,MODEF3 must be an integer between 1-2,Q0H. MODEF3 (F3 in person or remote) must be an integer between 1-2,If MODEF3 < 1 or MODEF3 > 2,,,,,
f3-fcv-m-005,005,Error,f3,FCV,RMREASF3,Missingness,RMREASF3 conditionally present,"If MODEF3= 2, RMREASF3 cannot be blank",If Q0H. MODEF3 (F3 in person or remote) = 2 (Remote) then Q0H1. RMREASF3 (Reason for remote F3) cannot be blank,If MODEF3 = 2 and RMREASF3 = blank,,"MODEF3, RMREASF3",,,
f3-fcv-m-006,006,Error,f3,FCV,RMREASF3,Missingness,RMREASF3 conditionally absent,"If MODEF3 = 1, RMREASF3 must be blank",If Q0H. MODEF3 (F3 in person or remote) = 1 (In-person) then Q0H1. RMREASF3 (Reason for remote F3) must be blank,If MODEF3= 1 and RMREASF3 not = blank,,"MODEF3, RMREASF3",,,
f3-fcv-c-007,007,Error,f3,FCV,RMREASF3,Conformity,RMREASF3 conforms,RMREASF3 must be an integer between 1-5,Q0H1. RMREASF3 (Reason for remote F3) must be an integer between 1-5,If RMREASF3 < 1 or RMREASF3 > 5,,,,,
f3-fcv-c-008,008,Error,f3,FCV,C19COISO_F,Conformity,C19COISO_F conforms,C19COISO_F must be an integer between 1-5 or 8,"Q1. C19COISO_F (On a scale of 1-5, since the last visit, how isolated or cut off from family and friends have you felt due to the COVID-19 pandemic?) must be an integer between 1-5 or 8",IF C19COISO_F < 1 or (C19COISO_F > 5 and C19COISO_F ne 8),,,,,
f3-fcv-m-009,009,Error,f3,FCV,C19COISO_F,Missingness,C19COISO_F must be present,C19COISO_F cannot be blank,"Q1. C19COISO_F (On a scale of 1-5, since the last visit, how isolated or cut off from family and friends have you felt due to the COVID-19 pandemic?) cannot be blank",If C19COISO_F = blank,,,,,
f3-fcv-c-010,010,Error,f3,FCV,C19CODIS_F,Conformity,C19CODIS_F conforms,C19CODIS_F must be an integer between 1-5 or 8,"Q2. C19CODIS_F (On a scale of 1-5, since the last visit, how disruptive has the COVID-19 pandemic been to your everyday life?) must be an integer between 1-5 or 8",IF C19CODIS_F < 1 or (C19CODIS_F > 5 and C19CODIS_F ne 8),,,,,
