error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
e1l-lbdivp-m-001,001,Error,e1l,IL,FRMDATEE1L,Missingness,FRMDATEE1L must be present,FRMDATEE1L cannot be blank,Q0a. FRMDATEE1L (E1L form date) cannot be blank ,If FRMDATEE1L = blank,,,,,
e1l-lbdivp-c-002,002,Error,e1l,IL,FRMDATEE1L,Conformity,FRMDATEE1L conforms,FRMDATEE1L must be a date,Q0a. FRMDATEE1L (E1L form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEE1L is not mm/dd/yyyy or yyyy/mm/dd,,,,,
e1l-lbdivp-m-003,003,Error,e1l,IL,LBGLRRK2,Missingness,LBGLRRK2 must be present,LBGLRRK2 cannot be blank,Q1. LBGLRRK2 (LRRK2) cannot be blank,IF LBGLRRK2 = blank,,,,,
e1l-lbdivp-c-004,004,Error,e1l,IL,LBGLRRK2,Conformity,LBGLRRK2 conforms,LBGLRRK2 must be a an integer between 0-1 or 9,Q1. LBGLRRK2 (LRRK2) must be an integer between 0-1 or 9,IF LBGLRRK2 < 0 or (LBGLRRK2 > 1 and LBGLRRK2 ne 9),,,,,
e1l-lbdivp-m-005,005,Error,e1l,IL,LBGLRKIS,Missingness,LBGLRKIS conditionally present,"If LBGLRRK2 = 1, then LBGLRKIS cannot be blank","If Q1. LBGLRRK2 (LRRK2) = 1, then Q1a. LBGLRKIS (LRRK2 information source) cannot be blank",IF LBGLRRK2 = 1 and LBGLRKIS = blank,,"LBGLRRK2, LBGLRKIS",,,
e1l-lbdivp-m-006,006,Error,e1l,IL,LBGLRKIS,Missingness,LBGLRKIS conditionally blank,"If LBGLRRK2 = 0 or 9, then LBGLRKIS must be blank","If Q1. LBGLRRK2 (LRRK2) = 0 or 9 (No or Unknown), then Q1a. LBGLRKIS (LRRK2 information source) must be blank","IF (LBGLRRK2 in (0,9)) and LBGLRKIS is not blank",,"LBGLRRK2, LBGLRKIS",,,
e1l-lbdivp-c-007,007,Error,e1l,IL,LBGLRKIS,Conformity,LBGLRKIS conforms,LBGLRKIS must be a an integer between 1-3 or 9,If Q1a. LBGLRKIS (LRRK2 information source) must be an integer between 1-3 or 9,IF LBGLRKIS < 1 or (LBGLRKIS > 3 and LBGLRKIS ne 9),,,,,
e1l-lbdivp-m-008,008,Error,e1l,IL,LBGPARK2,Missingness,LBGPARK2 must be present,LBGPARK2 cannot be blank,Q2. LBGPARK2 (PARK2) cannot be blank,IF LBGPARK2 = blank,,,,,
e1l-lbdivp-c-009,009,Error,e1l,IL,LBGPARK2,Conformity,LBGPARK2 conforms,LBGPARK2 must be a an integer between 0-1 or 9,Q2. LBGPARK2 (PARK2) must be an integer between 0-1 or 9,IF LBGPARK2 < 0 or (LBGPARK2 > 1 and LBGPARK2 ne 9),,,,,
e1l-lbdivp-m-010,010,Error,e1l,IL,LBGPK2IS,Missingness,LBGPK2IS conditionally present,"If LBGPARK2 = 1, then LBGPK2IS cannot be blank","If Q2 LBGPARK2 = 1, then Q2a. LBGPK2IS (PARK2 information source) cannot be blank",IF LBGPARK2 = 1 and LBGPK2IS = blank,,"LBGPARK2, LBGPK2IS",,,
e1l-lbdivp-m-011,011,Error,e1l,IL,LBGPK2IS,Missingness,LBGPK2IS conditionally blank,"If LBGPARK2 = 0 or 9, then LBGPK2IS must be blank","If Q2. LBGPARK2 (PARK2) = 0 or 9 (No or Unknown), then Q2a. LBGPK2IS (PARK2 information source) must be blank","IF (LBGPARK2 in (0,9)) and LBGPK2IS is not blank",,"LBGPARK2, LBGPK2IS",,,
e1l-lbdivp-c-012,012,Error,e1l,IL,LBGPK2IS,Conformity,LBGPK2IS conforms,LBGPK2IS must be a an integer between 1-3 or 9,If Q2a. LBGPK2IS (PARK2 information source) must be an integer between 1-3 or 9,IF LBGPK2IS < 1 or (LBGPK2IS > 3 and LBGPK2IS ne 9),,,,,
e1l-lbdivp-m-013,013,Error,e1l,IL,LBGPARK7,Missingness,LBGPARK7 must be present,LBGPARK7 cannot be blank,Q3. LBGPARK7 (PARK7) cannot be blank,IF LBGPARK7 = blank,,,,,
e1l-lbdivp-c-014,014,Error,e1l,IL,LBGPARK7,Conformity,LBGPARK7 conforms,LBGPARK7 must be a an integer between 0-1 or 9,Q3. LBGPARK7 (PARK7) must be an integer between 0-1 or 9,IF LBGPARK7 < 0 or (LBGPARK7 > 1 and LBGPARK7 ne 9),,,,,
e1l-lbdivp-m-015,015,Error,e1l,IL,LBGPK7IS,Missingness,LBGPK7IS conditionally present,"If LBGPARK7 = 1, then LBGPK7IS cannot be blank","If Q3. LBGPARK7 (PARK7) = 1, then Q3a. LBGPK7IS (PARK7 information source) cannot be blank",IF LBGPARK7 = 1 and LBGPK7IS = blank,,"LBGPARK7, LBGPK7IS",,,
e1l-lbdivp-m-016,016,Error,e1l,IL,LBGPK7IS,Missingness,LBGPK7IS conditionally blank,"If LBGPARK7 = 0 or 9, then LBGPK7IS must be blank","If Q3. LBGPARK7 (PARK7) = 0 or 9 (No or Unknown), then Q3a. LBGPK7IS (PARK7 information source) must be blank","IF (LBGPARK7 in (0,9)) and LBGPK7IS is not blank",,"LBGPARK7, LBGPK7IS",,,
e1l-lbdivp-c-017,017,Error,e1l,IL,LBGPK7IS,Conformity,LBGPK7IS conforms,LBGPK7IS must be a an integer between 1-3 or 9,If Q3a. LBGPK7IS (PARK7 information source) must be an integer between 1-3 or 9,IF LBGPK7IS < 1 or (LBGPK7IS > 3 and LBGPK7IS ne 9),,,,,
e1l-lbdivp-m-018,018,Error,e1l,IL,LBGPINK1,Missingness,LBGPINK1 must be present,LBGPINK1 cannot be blank,Q4. LBGPINK1 (PINK1) cannot be blank,IF LBGPINK1 = blank,,,,,
e1l-lbdivp-c-019,019,Error,e1l,IL,LBGPINK1,Conformity,LBGPINK1 conforms,LBGPINK1 must be a an integer between 0-1 or 9,Q4. LBGPINK1 (PINK1) must be an integer between 0-1 or 9,IF LBGPINK1 < 0 or (LBGPINK1 > 1 and LBGPINK1 ne 9),,,,,
e1l-lbdivp-m-020,020,Error,e1l,IL,LBGPNKIS,Missingness,LBGPNKIS conditionally present,"If LBGPINK1 = 1, then LBGPNKIS cannot be blank","If Q4. LBGPINK1 (PINK1) = 1, then Q4a. LBGPNKIS (PINK1 information source) cannot be blank",IF LBGPINK1 = 1 and LBGPNKIS = blank,,"LBGPINK1, LBGPNKIS",,,
