error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
c2t-ivp-m-001,1,Error,c2t,I,FRMDATEC2C2T,Missingness,FRMDATEC2C2T must be present,FRMDATEC2C2T cannot be blank,Q0a. FRMDATEC2C2T (C2T form date) cannot be blank ,If FRMDATEC2C2T = blank,,,Yes,No,
c2t-ivp-c-002,2,Error,c2t,I,FRMDATEC2C2T,Conformity,FRMDATEC2C2T conforms,FRMDATEC2C2T must be a date,Q0a. FRMDATEC2C2T (C2T form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATEC2C2T is not mm/dd/yyyy or yyyy/mm/dd,,,Yes,No,
c2t-ivp-m-003,3,Error,c2t,I,LANGC2C2T,Missingness,LANGC2C2T must be present,LANGC2C2T cannot be blank,Q0c. LANGC2C2T (Language of C2T administration) cannot be blank,If LANGC2C2T = blank,,,Yes,Yes,
c2t-ivp-c-004,4,Error,c2t,I,LANGC2C2T,Conformity,LANGC2C2T conforms,LANGC2C2T must be an integer between 1-2,Q0c. LANGC2C2T (Language of C2T administration) must be an integer between 1-2,If LANGC2C2T < 1 or LANGC2C2T > 2,,,Yes,Yes,
c2t-ivp-m-005,5,Error,c2t,I,MODEC2C2T,Missingness,MODEC2C2T must be present,MODEC2C2T cannot be blank,Q0d. MODEC2C2T (C2T in person or remote) cannot be blank,If MODEC2C2T = blank,,,Yes,No,
c2t-ivp-c-006,6,Error,c2t,I,MODEC2C2T,Conformity,MODEC2C2T conforms,MODEC2C2T must be = 2,Q0d. MODEC2C2T (C2T in person or remote) must be an integer = 2,If MODEC2C2T < 2 or MODEC2C2T > 2,,,Yes,No,
c2t-ivp-m-007,7,Error,c2t,I,RMREASC2C2T,Missingness,RMREASC2C2T conditionally present,RMREASC2C2T cannot be blank,Q0d1. RMREASC2C2T (Reason for remote C2T) cannot be blank,If RMREASC2C2T = blank,,,Yes,No,
c2t-ivp-c-008,8,Error,c2t,I,RMREASC2C2T,Conformity,RMREASC2C2T conforms,RMREASC2C2T must be an integer between 1-5,Q0d1. RMREASC2C2T (Reason for remote C2T) must be an integer between 1 and 5,If RMREASC2C2T < 1 or RMREASC2C2T > 5,,,Yes,No,
c2t-ivp-m-009,9,Error,c2t,I,RMMODEC2C2T,Missingness,RMMODEC2C2T must be present,RMMODEC2C2T cannot be blank,Q0d1a. RMMODEC2C2T (Mode of remote C2T administration) cannot be blank,If RMMODEC2C2T = blank,,,Yes,No,
c2t-ivp-c-010,10,Error,c2t,I,RMMODEC2C2T,Conformity,RMMODEC2C2T conforms,RMMODEC2C2T must be an integer = 1,Q0d1a. RMMODEC2C2T (Mode of remote C2T administration) must be an integer = 1,If RMMODEC2C2T < 1 or RMMODEC2C2T > 1,,,Yes,No,
c2t-ivp-m-011,11,Error,c2t,I,MOCACOMP,Missingness,MOCACOMP cannot be blank,MOCACOMP cannot be blank,Q1a. MOCACOMP (MoCA administered) cannot be blank,If MOCACOMP=blank,,,Yes,,
c2t-ivp-c-012,12,Error,c2t,I,MOCACOMP,Conformity,MOCACOMP conforms,MOCACOMP must be between 0 and 1,Q1a. MOCACOMP (MoCA administered) must be between 0 and 1,If MOCACOMP<0 or MOCACOMP>1,,,Yes,,
c2t-ivp-m-013,13,Error,c2t,I,MOCAREAS,Missingness,MOCAREAS conditionally present,If MOCACOMP is 0 then MOCAREAS cannot be blank,If Q1a. MOCACOMP (MoCA administered) is 0 then Q1a1. MOCAREAS (reason not adminstered) cannot be blank,If MOCACOMP=0 and MOCAREAS=blank,,"MOCACOMP, MOCAREAS",Yes,,
c2t-ivp-c-014,14,Error,c2t,I,MOCAREAS,Conformity,MOCAREAS conforms,MOCAREAS must be between 95 and 98,Q1a1. MOCAREAS (reason not adminstered) must be between 95 and 98,(MOCAREAS<95 or MOCAREAS>98),,,Yes,,
c2t-ivp-m-015,15,Error,c2t,I,MOCAREAS,Missingness,MOCAREAS conditionally blank,If MOCACOMP is 1 then MOCAREAS must be blank,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1a1. MOCAREAS (reason not administered) must be blank,If MOCACOMP=1 and MOCAREAS is not blank,,"MOCACOMP, MOCAREAS",Yes,,
c2t-ivp-m-016,16,Error,c2t,I,MOCALAN,Missingness,MOCALAN conditionally present,If MOCACOMP is 1 then MOCALAN must be present,If Q1a. MOCACOMP (MoCA administered) is 1 then Q1b. MOCALAN (MoCA language) cannot be blank,If MOCACOMP=1 and MOCALAN=blank,,"MOCACOMP, MOCALAN",Yes,,
c2t-ivp-c-017,17,Error,c2t,I,MOCALAN,Conformity,MOCALAN conforms,MOCALAN must be between 1 and 3,Q1b. MOCALAN (MoCA language) must be between 1 and 3,(MOCALAN<1 or MOCALAN>3),,,Yes,,
