error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
d1c-ivp-m-001,001,Error,d1c,I,FRMDATED1C,Missingness,FRMDATED1C must be present,FRMDATED1C cannot be blank,Q0a. FRMDATED1C (D1c form date) cannot be blank,If FRMDATED1C = blank,,,,,
d1c-ivp-c-002,002,Error,d1c,I,FRMDATED1C,Conformity,FRMDATED1C conforms,FRMDATED1C must be a date,Q0a. FRMDATED1C (D1c form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If FRMDATED1C is not mm/dd/yyyy or yyyy/mm/dd,,,,,
d1c-ivp-m-003,003,Error,d1c,I,LANGD1C,Missingness,LANGD1C must be present,LANGD1C cannot be blank,Q0c. LANGD1C (Language of D1c administration) cannot be blank,If LANGD1C = blank,,,,,
d1c-ivp-c-004,004,Error,d1c,I,LANGD1C,Conformity,LANGD1C conforms,LANGD1C must be an integer between 1-2,Q0c. LANGD1C (Language of D1c administration) must be an integer between 1 and 2,IF LANGD1C < 1 or LANGD1C > 2,,,,,
d1c-ivp-m-005,005,Error,d1c,I,DXPLSMABIO,Missingness,DXPLSMABIO must be present,DXPLSMABIO cannot be blank,Q1. DXPLSMABIO (Were plasma biomarkers used in the etiologic diagnosis?) cannot be blank,If DXPLSMABIO = blank,,,,,
d1c-ivp-c-006,006,Error,d1c,I,DXPLSMABIO,Conformity,DXPLSMABIO conforms,DXPLSMABIO must be an integer between 0-1,Q1. DXPLSMABIO (Were plasma biomarkers used in the etiologic diagnosis?) must be an integer between 0 and 1,IF DXPLSMABIO < 0 or DXPLSMABIO > 1,,,,,
d1c-ivp-m-007,007,Error,d1c,I,DXPTAU217,Missingness,DXPTAU217 conditionally missing,"If DXPLSMABIO = 0, then DXPTAU217 must be blank","If Q1. DXPLSMABIO (Were plasma biomarkers used in the etiologic diagnosis?) = 0 (No), then Q1a. DXPTAU217 (p-tau 217 used in diagnosis) must be blank",If DXPLSMABIO= 0 and DXPTAU217 is not blank,,"DXPLSMABIO, DXPTAU217",,,
d1c-ivp-c-008,008,Error,d1c,I,DXPTAU217,Conformity,DXPTAU217 conforms,DXPTAU217 must be blank or 1,Q1a. DXPTAU217 (p-tau 217 used in diagnosis) must be blank or 1,IF DXPTAU217 is not blank or DXPTAU217 ne 1,,,,,
d1c-ivp-m-009,009,Error,d1c,I,PTAU217RS,Missingness,PTAU217RS conditionally present,"If DXPTAU217 =1, then PTAU217RS cannot be blank","If Q1a. DXPTAU217 (p-tau 217 used in diagnosis) =1 (Yes), then Q1a1. PTAU217RS (p-tau 217 result) cannot be blank",If DXPTAU217 =1 and PTAU217RS=blank,,"DXPTAU217, PTAU217RS",,,
d1c-ivp-m-010,010,Error,d1c,I,PTAU217RS,Missingness,PTAU217RS conditionally missing,"If DXPTAU217 ne 1, then PTAU217RS must be blank","If Q1a. DXPTAU217 (p-tau 217 used in diagnosis) ne 1 (Yes), then Q1a1. PTAU217RS (p-tau 217 result) must be blank",If DXPTAU217 ne 1 and PTAU217RS is not blank,,"DXPTAU217, PTAU217RS",,,
