form_name,packet,question,varname,missingness,conformity,response_labels
F2,FCV,0G. F2 - Form date,FRMDATEF2,Always,mm/dd/yyyy or yyyy/mm/dd,
F2,FCV,0H. F2 - In-person or remote?,MODEF2,Always,Integers 1-2,"1, In-person|2, Remote"
F2,FCV,"0H1. If F2 form was completed remotely, specify reason",RMREASF2,Conditional,Integers 1-5,"1, Too cognitively impaired|2, Too physically impaired|3, Homebound or nursing home|4, Refused in-person visit|5, Other"
F2,FCV,0J. F2 - Examiner's initials,INITIALSF2,No,Any text,
F2,FCV,0K. Is the participant's CDR® > 0.5?,C19CDR,Always,Integers 0-1,"0, No|1, Yes"
F2,FCV,0L. Who will be filling in the F2 Participant form?,C19F2CP,Always,Integers 1-3,"1, Participant|2, Co-participant |3, Clinician"
F2,FCV,0N. Will a co-participant complete the F3 form?,F3_PARTICIPATION,Always,Integers 0-1,"0, No|1, Yes"
F2,FCV,1. Have you ever tested positive for COVID-19 and/or been diagnosed with COVID-19 by a healthcare provider)?,C19DIAG,Always,"Integers 0-2, 8-9","0, No|1, Yes, based on a positive test for acute infection|2, Yes, presumed COVID-19 diagnosis by healthcare provider but not tested|8, Decline to answer|9, Unsure/unknown"
F2,FCV,"2. If 100% is feeling perfectly normal (fully recovered from your COVID-19 symptoms),
what percent of normal do you feel?",C19NORM,Conditional (e.g. skip pattern),0-100,
F2,FCV,"2a. If not 100%, why are you not feeling perfectly normal?",C19NORMX,Conditional (e.g. skip pattern),text,
F2,FCV,"3. Over the past month, how often did symptoms from past or current COVID-19 infection(s) affect your daily life?",C19SYMAF,Conditional (e.g. skip pattern),"Integers 1-5, 8","1, Never|2, Seldom (1-2 days per week)|3, Sometimes (3-4 days per week)|4, Often (5-6 days per week)|5, Everyday |8, Decline to answer"
F2,FCV,4. Have you tested positive for COVID-19 and/or been diagnosed with COVID-19 by a healthcare professional since [last f2_form_date]?,C19RECDIAG,Conditional (e.g. skip pattern),"Integers 0, 1, 8","0, No|1, Yes|8, Decline to answer"
F2,FCV,5. How many distinct episodes of COVID-19 infection have you had since your last study visit?,C19NDIAG_F,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Once|2, Twice|3, Three or more times|9, Unsure/unknown"
F2,FCV,5a1. When did your first COVID-19 infection since the last study visit begin: month?,C19INF1BMO_F,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,FCV,5a2. When did your first COVID-19 infection since the last study visit begin: year?,C19INF1BYR_F,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,FCV,5b. What was the duration of symptoms from that first COVID-19 infection?,C19SMDUR1,Conditional (e.g. skip pattern),"Integers 0-5, 8","0, Never had symptoms|1, < 1 week|2, 1-2 weeks |3, 2-4 weeks|4, >4 weeks |5, Not yet recovered (symptoms persist to the present) |8, Decline to answer"
F2,FCV,5c1. When did your most recent COVID-19 infection begin: month?,C19INFRBMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,FCV,5c2. When did your most recent COVID-19 infection begin: year?,C19INFRBYR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,FCV,5d. What was the duration of symptoms from your most recent COVID-19 infection?,C19SMDURR,Conditional (e.g. skip pattern),"Integers 0-5, 8","0, Never had symptoms|1, < 1 week|2, 1-2 weeks |3, 2-4 weeks|4, >4 weeks |5, Not yet recovered (symptoms persist to the present) |8, Decline to answer"
F2,FCV,"6. During any of your COVID-19 infections since [last f2_form_date], did you lose the ability to smell or taste, experience lower ability to determine smells or tastes, or experience episodes of unprovoked, unfamiliar, or strange smells or tastes?",C19ANOS_F,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,FCV,6a1. When did you first experience changes in smell or taste: month?,C19ANOSBMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,FCV,6a2. When did you first experience changes in smell or taste: year?,C19ANOSBYR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,FCV,6b. How long did it take to recover smell and taste fully?,C19ANOSDUR,Conditional (e.g. skip pattern),"Integers 1-5, 8","1, < 1 week|2, 1-2 weeks |3, 2-4 weeks|4, >4 weeks |5, Not yet recovered (symptoms persist to the present) |8, Decline to answer"
F2,FCV,"7. During any of your COVID-19 infections since your last  visit, did you experience new problems with thinking, remembering,
or concentration (e.g., brain fog)?",C19BRF_F,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,FCV,"7a1. When did you first experience changes in thinking, remembering, or concentration: month?",C19BRFBMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
