error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
F3-CV-m-001,1,Error,F3,CV,PACKET,Missingness,PACKET must be present,PACKET cannot be blank,Q0a. PACKET (Packet code) cannot be blank ,If PACKET = blank,,,,,
F3-CV-c-002,2,Error,F3,CV,PACKET,Conformity,PACKET conforms,PACKET must be CV,Q0a. PACKET (Packet code) must be CV,If PACKET ne CV,,,,,
F3-CV-m-005,5,Error,F3,CV,FORMVER,Missingness,FORMVER must be present,FORMVER cannot be blank,Q0c. FORMVER (Form version number) cannot be blank ,If FORMVER = blank,,,,,
F3-CV-c-006,6,Error,F3,CV,FORMVER,Conformity,FORMVER conforms,FORMVER must be 2,Q0c. FORMVER (Form version number) must be 2,If FORMVER ne 2,,,,,
F3-CV-m-007,7,Error,F3,CV,ADCID,Missingness,ADCID must be present,ADCID cannot be blank,Q0d. ADCID (ADCID) cannot be blank,If ADCID = blank,,,,,
F3-CV-c-008,8,Error,F3,CV,ADCID,Conformity,ADCID conforms,ADCID must be a valid code in list_of_adcids,Q0d. ADCID (ADCID) must be a valid code in list_of_adcids,IF ADCID is not in list_of_adcids,,,,,
F3-CV-m-009,9,Error,F3,CV,PTID,Missingness,PTID must be present,PTID cannot be blank,Q0e. PTID (ADRC Participant ID) cannot be blank,If PTID = blank,,,,,
F3-CV-m-010,10,Error,F3,CV,VISITDATE,Missingness,VISITDATE must be present,VISITDATE cannot be blank,Q0f. VISITDATE (F2 form date) cannot be blank ,If VISITDATE = blank,,,,,
F3-CV-c-011,11,Error,F3,CV,VISITDATE,Conformity,VISITDATE conforms,VISITDATE must be a date in format mm/dd/yyyy or yyyy/mm/dd,Q0f. VISITDATE (F2 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,If VISITDATE is not mm/dd/yyyy or yyyy/mm/dd,,,,,
F3-CV-c-012,12,Error,F3,CV,C19COISO,Conformity,C19COISO conforms,C19COISO must be an integer between 1-5 or 8,"Q1. C19COISO (On a scale of 1-5, how isolated or cut off from family and friends have you felt due to the COVID-19 pandemic?) must be an integer between 1-5 or 8",IF  C19COISO <1 or (C19COISO >5 and C19COISO ne 8),,,,,
F3-CV-m-013,13,Error,F3,CV,C19COISO,Missingness,C19COISO must be present,C19COISO cannot be blank,"Q1. C19COISO (On a scale of 1-5, how isolated or cut off from family and friends have you felt due to the COVID-19 pandemic?) cannot be blank",IF C19COISO=blank,,,,,
F3-CV-c-014,14,Error,F3,CV,C19CODIS,Conformity,C19CODIS conforms,C19CODIS must be an integer between 1-5 or 8,"Q2. C19CODIS (On a scale of 1-5, how disruptive has the COVID-19 pandemic been to your everyday life?) must be an integer between 1-5 or 8",IF C19CODIS <1 or (C19CODIS > 5 and C19CODIS ne 8),,,,,
F3-CV-m-015,15,Error,F3,CV,C19CODIS,Missingness,C19CODIS must be present,C19CODIS cannot be blank,"Q2. C19CODIS (On a scale of 1-5, how disruptive has the COVID-19 pandemic been to your everyday life?) cannot be blank",IF C19CODIS = blank,,,,,
