form_name,packet,question,varname,missingness,conformity,response_labels
F2,CV,0G. F2 - Form date,FRMDATEF2,Always,mm/dd/yyyy or yyyy/mm/dd,
F2,CV,0H. F2 - In-person or remote?,MODEF2,Always,Integers 1-2,"1, In-person|2, Remote"
F2,CV,0J. F2 - Examiner's initials,INITIALSF2,No,Any text,
F2,CV,0K. Is the participant's CDR® > 0.5?,C19CDR,Always,Integers 0-1,"0, No|1, Yes"
F2,CV,0L. Who will be filling in the F2 Participant form?,C19F2CP,Always,Integers 1-3,"1, Participant|2, Co-participant |3, Clinician"
F2,CV,0M. How are you admininstering the F2 form?,C19F2D,Always,Integers 1-4,"1, In-person electronic|2, In-person printed form|3, Email |4, Mail"
F2,CV,"1. During the COVID-19 pandemic, have you tested positive for COVID-19 and/or were diagnosed with COVID-19 by a healthcare provider?",C19DIAG,Always,"Integers 0-2, 8-9","0, No|1, Yes, based on a positive test for acute infection|2, Yes, presumed COVID-19 diagnosis by healthcare provider but not tested|8, Decline to answer|9, Unsure/unknown"
F2,CV,"2. During the COVID-19 pandemic, have you experienced new or worsening symptoms (see below) that led you to think you had COVID-19 (novel coronavirus) such as fever, cough, difficulty breathing, persistent pain or pressure in the chest, chills, repeated shaking with chills, muscle pain, headache, sore throat, new loss of taste or smell, new confusion or inability to arouse, or bluish lips or face?",C19SYMPT,Conditional (e.g. skip pattern),"Integers 0-2, 8-9","0, No|1, Yes|2, Other|8, Decline to answer|9, Unsure/unknown"
F2,CV,2a. Other specify,C19SYOTX,Conditional (e.g. skip pattern),text,
F2,CV,3. Have you ever been tested for acute COVID-19 infection?,C19TESTED,Conditional (e.g. skip pattern),"Integers 1-4, 8, 9","1, No, not tested (wanted to but unable)|2, No, not tested (did not want to get tested)|3, Yes, I was tested once|4, Yes, I was tested more than once|8, Decline to answer|9, Unsure/unknown"
F2,CV,"4. If 100% is feeling perfectly normal (fully recovered from your COVID-19 symptoms),
what percent of normal do you feel?",C19NORM,Conditional (e.g. skip pattern),0-100,
F2,CV,"4a. If not 100%, why are you not feeling perfectly normal?",C19NORMX,Conditional (e.g. skip pattern),text,
F2,CV,"5. Over the past month, how often did symptoms from past or current COVID-19 infection(s) affect your daily life?",C19SYMAF,Conditional (e.g. skip pattern),"Integers 1-5, 8","1, Never|2, Seldom (1-2 days per week)|3, Sometimes (3-4 days per week)|4, Often (5-6 days per week)|5, Everyday |8, Decline to answer"
F2,CV,6. How many times have you been diagnosed with COVID-19 infection (distinct episodes of infection)?,C19NDIAG,Conditional (e.g. skip pattern),"Integers 1-3, 9","1, Once|2, Twice|3, Three or more times|9, Unsure/unknown"
F2,CV,6a1. When did your first COVID-19 infection begin: month?,C19INF1BMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,6a2. When did your first COVID-19 infection begin: year?,C19INF1BYR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,CV,6b. What was the duration of symptoms from your first COVID-19 infection?,C19SMDUR1,Conditional (e.g. skip pattern),"Integers 0-5, 8","0, Never had symptoms|1, < 1 week|2, 1-2 weeks |3, 2-4 weeks|4, >4 weeks |5, Not yet recovered (symptoms persist to the present) |8, Decline to answer"
F2,CV,6c1. When did your most recent COVID-19 infection begin: month?,C19INFRBMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,6c2. When did your most recent COVID-19 infection begin: year?,C19INFRBYR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,CV,6d. What was the duration of symptoms from your most recent COVID-19 infection?,C19SMDURR,Conditional (e.g. skip pattern),"Integers 0-5, 8","0, Never had symptoms|1, < 1 week|2, 1-2 weeks |3, 2-4 weeks|4, >4 weeks |5, Not yet recovered (symptoms persist to the present) |8, Decline to answer"
F2,CV,"7. During any of your COVID-19 infections, did you lose the ability to smell or taste, experience lower ability to determine smells or tastes, or experience episodes of unprovoked, unfamiliar, or strange smells or tastes?",C19ANOS,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,CV,7a1. When did you first experience changes in smell or taste: month?,C19ANOSBMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,7a2. When did you first experience changes in smell or taste: year?,C19ANOSBYR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,CV,7b. How long did it take to recover smell and taste fully?,C19ANOSDUR,Conditional (e.g. skip pattern),"Integers 1-5, 8","1, < 1 week|2, 1-2 weeks |3, 2-4 weeks|4, >4 weeks |5, Not yet recovered (symptoms persist to the present) |8, Decline to answer"
F2,CV,"8. During any of your COVID-19 infections, did you experience new problems with thinking, remembering,
or concentration (e.g., brain fog)?",C19BRF,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,CV,"8a1. When did you first experience changes in thinking, remembering, or concentration: month?",C19BRFBMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,"8a2. When did you first experience changes in thinking, remembering, or concentration: year?",C19BRFBYR,Conditional (e.g. skip pattern),"2019 to current year, 8888, 9999",
F2,CV,"8b. How long did it take to recover changes in thinking, remembering, or concentration?",C19BRFDUR,Conditional (e.g. skip pattern),"Integers 0-5, 8","1, < 1 week|2, 1-2 weeks |3, 2-4 weeks|4, >4 weeks |5, Not yet recovered (symptoms persist to the present) |8, Decline to answer"
F2,CV,9. Did you ever seek medical care for COVID-19?,C19MEDC,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,CV,"9a. Did you receive any type of outpatient treatment for your COVID-19 infection such as monoclonal antibody treatment, oral antiviral, subcutaneous injection of antiviral, or other treatment?",C19OPATR,Conditional (e.g. skip pattern),"Integers 0, 1, 8, 9","0, No|1, Yes|8, Decline to answer|9, Unsure/unknown"
F2,CV,9a1a. When did you receive this outpatient treatment: month?,C19OPATRMO,Conditional (e.g. skip pattern),"Integers 1-12, 88, 99",
F2,CV,9a1b. When did you receive this outpatient treatment: year?,C19OPATRYR,Conditional (e.g. skip pattern),"2020 to current year, 8888, 9999",
F2,CV,9b. What was the highest level of medical care you received for COVID-19?,C19MEDCTYP,Conditional (e.g. skip pattern),"Integers 1-5, 8, 9","1,Phone consultation or virtual care visit|2, In-person physician or urgent care visit |3, Emergency department|4, Hospitalized but not the intensive care unit (ICU) |5, Hospitalized, including a stay in the ICU and/or ventilator support (breathing tube in your throat)|8, Decline to answer|9,Unsure/unknown"
