error_code,error_no,error_type,form_name,packet,var_name,check_type,test_name,short_desc,full_desc,test_logic,comp_forms,comp_vars,do_in_redcap,in_prev_versions,questions
b2d-dsivp-p-1001,1001,Error,b2d,IDS,DSDLDSTM,Plausibility,"DSDLDSTM  compared to DSDLDST2, DSDLDST4, DSDLDST5, DSDLDST6, DSDLDST7","DSDLDSTM must equal the sum of (DSDLDST2, DSDLDST4, DSDLDST5, DSDLDST6, DSDLDST7)","Q1. DSDLDSTM (Short-term memory total) must equal the sum of (Q1a. DSDLDST2, Q1b. DSDLDST4, Q1c. DSDLDST5, Q1d. DSDLDST6, Q1e. DSDLDST7)",IF DSDLDSTM ne (DSDLDST2 + DSDLDST4 + DSDLDST5 + DSDLDST6 + DSDLDST7),,"DSDLDSTM, DSDLDST2, DSDLDST4, DSDLDST5, DSDLDST6, DSDLDST7",,,
b2d-dsivp-p-1002,1002,Error,b2d,IDS,DSDLDLTM,Plausibility,"DSDLDLTM compared to DSDLDLT2, DSDLDLT3, DSDLDLT6, DSDLDLT8, DSDLDLT9","DSDLDLTM must equal the sum of (DSDLDLT2, DSDLDLT3, DSDLDLT6, DSDLDLT8, DSDLDLT9)","Q2. DSDLDLTM (Long-term memory total) must equal the sum of (Q2a. DSDLDLT2, Q2b. DSDLDLT3, Q2c. DSDLDLT6, Q2d. DSDLDLT8, Q2e. DSDLDLT9)",IF DSDLDLTM ne (DSDLDLT2 + DSDLDLT3+ DSDLDLT6 + DSDLDLT8 + DSDLDLT9),,"DSDLDLTM, DSDLDLT2, DSDLDLT3, DSDLDLT6, DSDLDLT8, DSDLDLT9",,,
b2d-dsivp-p-1003,1003,Error,b2d,IDS,DSDLDOR,Plausibility,"DSDLDOR compared to DSDLDOR2, DSDLDOR3, DSDLDOR4, DSDLDOR6, DSDLDOR8, DSDLDOR9","DSDLDOR must equal the sum of (DSDLDOR2, DSDLDOR3, DSDLDOR4, DSDLDOR6, DSDLDOR8, DSDLDOR9)","Q3. DSDLDOR (Spatial & temporal orientation total) must equal the sum of (Q3a. DSDLDOR2, Q3b. DSDLDOR3, Q3c. DSDLDOR4, Q3d. DSDLDOR6, Q3e. DSDLDOR8, Q3f. DSDLDOR9)",IF DSDLDOR ne (DSDLDOR2 +DSDLDOR3 +DSDLDOR4 + DSDLDOR6 + DSDLDOR8 + DSDLDOR9),,"DSDLDOR, DSDLDOR2, DSDLDOR3, DSDLDOR4, DSDLDOR6, DSDLDOR8, DSDLDOR9",,,
b2d-dsivp-p-1004,1004,Error,b2d,IDS,DSDLDSP,Plausibility,"DSDLDSP compared to DSDLDSP2, DSDLDSP4, DSDLDSP5, DSDLDSP6","DSDLDSP must equal the sum of (DSDLDSP2, DSDLDSP4, DSDLDSP5, DSDLDSP6)","Q4. DSDLDSP (Speech total) must equal the sum of (Q4a. DSDLDSP2, Q4b. DSDLDSP4, Q4c. DSDLDSP5, Q4d. DSDLDSP6)",IF DSDLDSP ne (DSDLDSP2 + DSDLDSP4 + DSDLDSP5 + DSDLDSP6),,"DSDLDSP, DSDLDSP2, DSDLDSP4, DSDLDSP5, DSDLDSP6",,,
b2d-dsivp-p-1005,1005,Error,b2d,IDS,DSDLDPRC,Plausibility,"DSDLDPRC compared to DSDLDPR3, DSDLDPR4, DSDLDPR5, DSDLDPR8, DSDLDP10","DSDLDPRC must equal the sum of (DSDLDPR3, DSDLDPR4, DSDLDPR5, DSDLDPR8, DSDLDP10)","Q5. DSDLDPRC (Practical skills total) must equal the sum of (Q5a. DSDLDPR3, Q5b. DSDLDPR4, Q5c. DSDLDPR5, Q5d. DSDLDPR8, Q5e. DSDLDP10)",IF DSDLDPRC ne (DSDLDPR3 + DSDLDPR4 + DSDLDPR5 + DSDLDPR8 + DSDLDP10),,"DSDLDPRC, DSDLDPR3, DSDLDPR4, DSDLDPR5, DSDLDPR8, DSDLDP10",,,
b2d-dsivp-p-1006,1006,Error,b2d,IDS,DSDLDMD,Plausibility,"DSDLDMD compared to DSDLDMD7, DSDLDMD8, DSDLDMD9, DSDLDM10","DSDLDMD must equal the sum of (DSDLDMD7, DSDLDMD8, DSDLDMD9, DSDLDM10)","Q6. DSDLDMD (Mood total) must equal the sum of (Q6a. DSDLDMD7, Q6b. DSDLDMD8, Q6c. DSDLDMD9, Q6d. DSDLDM10)",IF DSDLDMD ne (DSDLDMD7 + DSDLDMD8 + DSDLDMD9 + DSDLDM10),,"DSDLDMD, DSDLDMD7, DSDLDMD8, DSDLDMD9, DSDLDM10",,,
b2d-dsivp-p-1007,1007,Error,b2d,IDS,DSDLDAI,Plausibility,"DSDLDAI compared to DSDLDAI3, DSDLDAI4, DSDLDAI5, DSDLDAI6, DSDLDAI7","DSDLDAI must equal the sum of (DSDLDAI3, DSDLDAI4, DSDLDAI5, DSDLDAI6, DSDLDAI7)","Q7. DSDLDAI (Activity & interest total) must equal the sum of (Q7a. DSDLDAI3, Q7b. DSDLDAI4, Q7c. DSDLDAI5, Q7d. DSDLDAI6, Q7e. DSDLDAI7)",IF DSDLDAI ne (DSDLDAI3 + DSDLDAI4 + DSDLDAI5 + DSDLDAI6 + DSDLDAI7),,"DSDLDAI, DSDLDAI3, DSDLDAI4, DSDLDAI5, DSDLDAI6, DSDLDAI7",,,
b2d-dsivp-p-1008,1008,Error,b2d,IDS,DSDLDBD,Plausibility,"DSDLDBD compared to DSDLDBD3, DSDLDBD4, DSDLDBD6, DSDLDBD7, DSDLDBD8","DSDLDBD must equal the sum of (DSDLDBD3, DSDLDBD4, DSDLDBD6, DSDLDBD7, DSDLDBD8)","Q8. DSDLDBD (Behavioral disturbance total) must equal the sum of (Q8a. DSDLDBD3, Q8b. DSDLDBD4, Q8c. DSDLDBD6, Q8d. DSDLDBD7, Q8e. DSDLDBD8)",IF DSDLDBD ne (DSDLDBD3 + DSDLDBD4 + DSDLDBD6 + DSDLDBD7 + DSDLDBD8),,"DSDLDBD, DSDLDBD3, DSDLDBD4, DSDLDBD6, DSDLDBD7, DSDLDBD8",,,
b2d-dsivp-p-1009,1009,Error,b2d,IDS,DSDLDSCS,Plausibility,"DSDLDSCS compared to DSDLDSTM, DSDLDLTM, DSDLDOR","DSDLDSCS must equal the sum of (DSDLDSTM, DSDLDLTM, DSDLDOR)","Q9. DSDLDSCS (Sum of Cognitive Scores (Category 1-3)) must equal the sum of (Q1. DSDLDSTM, Q2. DSDLDLTM, Q3. DSDLDOR)",IF DSDLDSCS ne (DSDLDSTM + DSDLDLTM + DSDLDOR),,"DSDLDSCS, DSDLDSTM, DSDLDLTM, DSDLDOR",,,
b2d-dsivp-p-1010,1010,Error,b2d,IDS,DSDLDSOS,Plausibility,"DSDLDSOS compared to DSDLDSP, DSDLDPRC, DSDLDMD, DSDLDAI, DSDLDBD","DSDLDSOS must equal the sum of (DSDLDSP, DSDLDPRC, DSDLDMD, DSDLDAI, DSDLDBD)","Q10. DSDLDSOS (Sum of Social Scores (Category 4-8)) must equal the sum of (Q4. DSDLDSP, Q5. DSDLDPRC, Q6. DSDLDMD, Q7. DSDLDAI, Q8. DSDLDBD)",IF DSDLDSOS ne (DSDLDSP + DSDLDPRC + DSDLDMD + DSDLDAI + DSDLDBD),,"DSDLDSOS, DSDLDSP, DSDLDPRC, DSDLDMD, DSDLDAI, DSDLDBD",,,
